IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
1.0,1,0.1,'D',5,0,55,50,'B12','Regular',1217,'R82'
3.0,1,0.77,'D',5,0,55,50,'B12','Regular',1217,'R82'
5.0,1,0.75,'B',6,2,52,50,'B12','Diesel',54,'R22'
10.0,1,0.09,'B',7,0,46,50,'B12','Diesel',76,'R72'
11.0,1,0.84,'B',7,0,46,50,'B12','Diesel',76,'R72'
13.0,1,0.52,'E',6,2,38,50,'B12','Regular',3003,'R31'
15.0,1,0.45,'E',6,2,38,50,'B12','Regular',3003,'R31'
17.0,1,0.27,'C',7,0,33,68,'B12','Diesel',137,'R91'
18.0,1,0.71,'C',7,0,33,68,'B12','Diesel',137,'R91'
21.0,1,0.15,'B',7,0,41,50,'B12','Diesel',60,'R52'
25.0,1,0.75,'B',7,0,41,50,'B12','Diesel',60,'R52'
27.0,1,0.87,'C',7,0,56,50,'B12','Diesel',173,'R93'
30.0,1,0.81,'D',4,1,27,90,'B12','Regular',695,'R72'
32.0,1,0.05,'D',4,0,27,90,'B12','Regular',695,'R72'
35.0,1,0.76,'E',4,9,23,100,'B6','Regular',7887,'R31'
